origin_state,origin_state_name,dest_state,dest_state_name,year,tons,value,tons_lag1,value_lag1,tons_growth,value_growth,distance_miles,cpi_pc1,target_next_year_tons
44,Rhode Island,34,New Jersey,2019,192.141643,1056.6629560000001,195.258938,1086.847242,-0.015964928581143942,-0.027772335277269744,184.11333151785428,1.8126316666666666,212.919129
44,Rhode Island,34,New Jersey,2020,212.919129,1093.322075,192.141643,1056.6629560000001,0.1081362981787348,0.034693294386672825,184.11333151785428,1.2548791666666668,192.501696
44,Rhode Island,34,New Jersey,2021,192.501696,1112.974008,212.919129,1093.322075,-0.09589290119630345,0.017974514051588935,184.11333151785428,4.6765175,232.794051
44,Rhode Island,34,New Jersey,2022,232.794051,1162.864779,192.501696,1112.974008,0.20930909097029454,0.0448265374046364,184.11333151785428,7.998425833333333,336.305389
44,Rhode Island,34,New Jersey,2023,336.305389,1208.430097,232.794051,1162.864779,0.44464769419730577,0.039183677090283545,184.11333151785428,4.1461049999999995,262.05377599999997
44,Rhode Island,35,New Mexico,2019,9.983371,124.891094,10.13726,126.62718600000001,-0.01518053201752737,-0.013710262818286221,1927.837340981442,1.8126316666666666,9.908678
44,Rhode Island,35,New Mexico,2020,9.908678,122.115802,9.983371,124.891094,-0.007481741387753685,-0.02222169660872691,1927.837340981442,1.2548791666666668,10.015511
44,Rhode Island,35,New Mexico,2021,10.015511,124.59585700000001,9.908678,122.115802,0.01078176119962723,0.020309042395676255,1927.837340981442,4.6765175,9.389333
44,Rhode Island,35,New Mexico,2022,9.389333,118.81951799999999,10.015511,124.59585700000001,-0.06252082394997115,-0.046360602503821784,1927.837340981442,7.998425833333333,9.067571
44,Rhode Island,35,New Mexico,2023,9.067571,115.13928,9.389333,118.81951799999999,-0.03426888789650995,-0.030973345641748765,1927.837340981442,4.1461049999999995,8.748377
44,Rhode Island,36,New York,2019,1385.081175,2462.022668,1089.574542,2147.809177,0.27121286484683665,0.14629488241543162,178.35496796328658,1.8126316666666666,946.251883
44,Rhode Island,36,New York,2020,946.251883,2282.968336,1385.081175,2462.022668,-0.31682568496391555,-0.07272651642377168,178.35496796328658,1.2548791666666668,761.161461
44,Rhode Island,36,New York,2021,761.161461,2113.456127,946.251883,2282.968336,-0.1956037555383126,-0.07425079285024301,178.35496796328658,4.6765175,864.299011
44,Rhode Island,36,New York,2022,864.299011,2038.353145,761.161461,2113.456127,0.13550022601577816,-0.035535623872451405,178.35496796328658,7.998425833333333,1080.7657629999999
44,Rhode Island,36,New York,2023,1080.7657629999999,2041.256521,864.299011,2038.353145,0.250453545873605,0.001424373400223532,178.35496796328658,4.1461049999999995,1226.869446
44,Rhode Island,37,North Carolina,2019,30.937807000000003,242.127903,31.479754,246.85470899999999,-0.017215731736658326,-0.019148129760814012,609.9702493045052,1.8126316666666666,29.492747
44,Rhode Island,37,North Carolina,2020,29.492747,227.880414,30.937807000000003,242.127903,-0.04670854660125074,-0.058842821597476114,609.9702493045052,1.2548791666666668,27.75573
44,Rhode Island,37,North Carolina,2021,27.75573,218.003602,29.492747,227.880414,-0.058896412734968415,-0.04334208380014616,609.9702493045052,4.6765175,28.893537
44,Rhode Island,37,North Carolina,2022,28.893537,227.494922,27.75573,218.003602,0.04099358943180376,0.04353744577119419,609.9702493045052,7.998425833333333,28.708074
44,Rhode Island,37,North Carolina,2023,28.708074,229.334683,28.893537,227.494922,-0.0064188403102049645,0.008087042048349589,609.9702493045052,4.1461049999999995,28.944505
44,Rhode Island,38,North Dakota,2019,2.094236,12.421445,1.859753,10.405513000000001,0.12608287229540696,0.19373691619048472,1475.3091701620908,1.8126316666666666,1.804536
44,Rhode Island,38,North Dakota,2020,1.804536,10.325394,2.094236,12.421445,-0.1383320695470807,-0.16874453817571153,1475.3091701620908,1.2548791666666668,1.84612
44,Rhode Island,38,North Dakota,2021,1.84612,11.281865,1.804536,10.325394,0.023044150961798526,0.0926328816120722,1475.3091701620908,4.6765175,3.180365
44,Rhode Island,38,North Dakota,2022,3.180365,15.498498,1.84612,11.281865,0.7227292917036813,0.3737531870838731,1475.3091701620908,7.998425833333333,2.4532789999999998
44,Rhode Island,38,North Dakota,2023,2.4532789999999998,13.931487,3.180365,15.498498,-0.22861715557805481,-0.10110728149269685,1475.3091701620908,4.1461049999999995,2.446071
44,Rhode Island,39,Ohio,2019,205.913728,706.474546,210.20604500000002,721.321447,-0.020419569760708,-0.02058291911567133,590.9031191455603,1.8126316666666666,204.84124200000002
