origin_state,origin_state_name,dest_state,dest_state_name,feature_year,prediction_year,selected_model,predicted_tons
8,Colorado,56,Wyoming,2024,2025,linear_regression,3944.2768935037498
10,Delaware,24,Maryland,2024,2025,linear_regression,3920.626661894721
47,Tennessee,48,Texas,2024,2025,linear_regression,3917.6473788813464
5,Arkansas,22,Louisiana,2024,2025,linear_regression,3905.5702235696453
36,New York,9,Connecticut,2024,2025,linear_regression,3881.2939982163234
48,Texas,47,Tennessee,2024,2025,linear_regression,3858.228187614513
6,California,17,Illinois,2024,2025,linear_regression,3797.4398841265875
5,Arkansas,40,Oklahoma,2024,2025,linear_regression,3710.5655436568577
29,Missouri,48,Texas,2024,2025,linear_regression,3666.5725286935995
55,Wisconsin,19,Iowa,2024,2025,linear_regression,3653.677911272233
18,Indiana,48,Texas,2024,2025,linear_regression,3637.0146714446746
27,Minnesota,17,Illinois,2024,2025,linear_regression,3633.2453751253533
27,Minnesota,31,Nebraska,2024,2025,linear_regression,3592.705003674237
25,Massachusetts,44,Rhode Island,2024,2025,linear_regression,3579.3515563919314
21,Kentucky,17,Illinois,2024,2025,linear_regression,3571.3408353969635
17,Illinois,42,Pennsylvania,2024,2025,linear_regression,3506.278730341561
1,Alabama,48,Texas,2024,2025,linear_regression,3464.42603558225
40,Oklahoma,29,Missouri,2024,2025,linear_regression,3442.657291562495
37,North Carolina,12,Florida,2024,2025,linear_regression,3416.8143090746
42,Pennsylvania,18,Indiana,2024,2025,linear_regression,3395.0788543444464
19,Iowa,46,South Dakota,2024,2025,linear_regression,3384.5924595739366
48,Texas,4,Arizona,2024,2025,linear_regression,3363.9146234153854
5,Arkansas,47,Tennessee,2024,2025,linear_regression,3294.03710428078
28,Mississippi,48,Texas,2024,2025,linear_regression,3255.791158321154
10,Delaware,42,Pennsylvania,2024,2025,linear_regression,3245.1542519880772
39,Ohio,54,West Virginia,2024,2025,linear_regression,3238.4253639239187
40,Oklahoma,5,Arkansas,2024,2025,linear_regression,3234.5665916620283
39,Ohio,6,California,2024,2025,linear_regression,3234.211692901208
39,Ohio,13,Georgia,2024,2025,linear_regression,3211.385055485407
55,Wisconsin,18,Indiana,2024,2025,linear_regression,3193.796218201279
28,Mississippi,47,Tennessee,2024,2025,linear_regression,3115.673491436067
48,Texas,42,Pennsylvania,2024,2025,linear_regression,3106.7242363963715
21,Kentucky,51,Virginia,2024,2025,linear_regression,3104.0463141283035
50,Vermont,33,New Hampshire,2024,2025,linear_regression,3103.145758567645
29,Missouri,40,Oklahoma,2024,2025,linear_regression,3083.9699115329386
34,New Jersey,9,Connecticut,2024,2025,linear_regression,3074.114731669055
39,Ohio,51,Virginia,2024,2025,linear_regression,3011.8193282641796
39,Ohio,55,Wisconsin,2024,2025,linear_regression,3007.373928940636
53,Washington,16,Idaho,2024,2025,linear_regression,2992.7985430892527
17,Illinois,13,Georgia,2024,2025,linear_regression,2961.4959425970524
12,Florida,48,Texas,2024,2025,linear_regression,2947.9254992040533
56,Wyoming,30,Montana,2024,2025,linear_regression,2943.434625202084
42,Pennsylvania,17,Illinois,2024,2025,linear_regression,2930.365683854395
6,California,13,Georgia,2024,2025,linear_regression,2926.770227008022
46,South Dakota,27,Minnesota,2024,2025,linear_regression,2920.214592236644
45,South Carolina,47,Tennessee,2024,2025,linear_regression,2907.6484875630795
51,Virginia,39,Ohio,2024,2025,linear_regression,2901.4186487333723
